Text,religious_icon,religious_practice,religious_place,god,religious_group
"সানিউর কুত্তার বাচ্চা, তুর বোনেরে চুদমু তুর কান্দে ফালাইয়া, তুর মাইরে চুদমো তুর বাবার কান্দে ফালাইয়া, বান্দির বাচ্চা রেন্ডির সন্তান,",2,2,2,2,3
ভারতে মুসলমান খেদাও আন্দোলনের নামে প্রচার করা হচ্ছে মুসলিম বিদ্বেষী পোস্টার-লিফলেট,2,2,3,2,3
ঊর্বশীকে দেখে স্বমেহন (কবিরাজি বাংলায় হস্তমৈথুন) করতেন ব্রহ্মা।,2,2,2,3,2
"বোরকা পরা নারীদের দেখে বুঝা যায় না, তারা মানুষ, ভূত না জানোয়ার বলেছেন লিটন",2,2,2,2,3
"ভাই আগে আপনাকে কোরআন বেদ গীতা বইগুলো পরেন জানেন তাঁর পরে তর্কে বসেন তাহলে জবাব দিতে পারবেন,",2,3,2,2,3
পয়লা বৈশাখের কথিত মঙ্গল শোভাযাত্রা আর হিন্দু সম্প্রদায়ের রথযাত্রার মধ্যে পার্থক্য কোথায়?,2,3,2,2,3
হেফাজতে ইসলামির প্রতিষ্ঠাতা আল্লামা শফির ছেলেকে বাদ দিয়ে কমিটি যারা করে তারা কিসের আল্লামা?,2,2,2,2,3
ইসলাম কোনো ধর্মই না।এটি হল দেশ দখলের রাজনৈতিক চক্রান্ত,2,2,2,2,3
প্লিজ সকল মুসলিম ভাইদের বলছি এই সমস্ত মালাউন শয়তান থেকে সাবধান,2,2,2,2,3
যদি একটু নিরপেক্ষ মানবিক বিবেক দিয়ে ভাবে তাহলে সহজে উপলব্ধি করত যে নিয়মিত যে হারে বাংলাদেশে সংখ্যালঘু নির্যাতন পীড়ন হত্যা গুম হয় তা বার্মার রোহিঙ্গাদের থেকেও গড়ানুপাতে বেশী। তখন তো ঈমানবাদীরা মালাউন নিয়ে টু শব্দও করে না। ,2,2,3,2,3
আমিও এর তীব্র নিন্দা জানাই বার্মার রোহিঙ্গা নির্যাতনে। একই ধর্মানুসারী বলেই বাংলার মুসলিমরা এই বিষয়ে সরব থাকবে।,2,2,3,2,3
শহীদ মিনারে ফুল দেয়া এবং হিন্দুদের পূজার মধ্যে পার্থক্য নেই,2,3,2,2,3
হিটলার কে ধন্যবাদ কারণ ইহুদীরা আসলিই খারাপ,2,2,2,2,3
ঐ শালা মালাউন।তোদের বাপ ইউরোপ আমেরিকাতে ঈদের কোন ছুটি নাই।আর সৌদিআরব কিছু করলেই চুলকানি উঠে।,2,2,3,2,3
ঠিক এমনি অত্যাচার করে ছিলো ইহুদিরা আমার প্রিয় নবী হজরত মোহাম্মদ (সঃ) কে ।,3,2,2,2,3
ভবিষ্যৎ প্রজন্মকে ধর্মহীন করার য়ড়যন্ত্র করছে সরকার,2,3,2,2,2
তোমাদের সব মসজিদ গিয়ে যদি আমরা ভেঙে দিয়ে আসি তাহলে তোমাদের আল্লাহ সেই মসজিদ রক্ষা করতে পারবে তো?,2,2,2,3,2
মালাউনদের কেন পিটাই বুজসতো আরো পিটামু,2,2,2,2,3
আবাল পাকিরাকি তোর মাবোনকে ছেড়ে দিছিল?তোদেরকেইতো মালাউন বলেছিল তোদের আব্বুরা,2,2,2,2,3
 মুসলিমদের উপর গনহত্যা চালিয়ে সেটা হিন্দু সংখ্যাগরিষ্ঠ এলাকা বানিয়ে ফেলেছে । গুজরাটে মুসলিমকে পুড়িয়ে হত্যা করেছে । গুজরাটের মুসলিমদের ঘর বাড়ি আজও তাদের দখলে । ,2,2,3,2,3
কাশ্মীরের জম্মু ছিল মুসলিম সংখ্যাগরিষ্ঠ এলাকা ।গুজরাটের মুসলিম এমপিকে পর্যন্ত তারা জবাই করে হত্যা করেছে । এত বড় হারামজাদা জাতি এই হিন্দু মালাউনের বাচ্চারা ।,2,2,3,2,3
এই হিন্দুরা কাশ্মীরে মুসলিম এবং হায়দারাবাদে মুসলিম হত্যা করেছে । এটা তারা নিজেদের মুখেই স্বীকার করেছে ।,2,2,3,2,3
ওই লোক লেখা পড়া জানে না ধর্মগ্রনত মানেনা ওর সাথে কিসের তর্ক,2,2,2,2,2
বাংলাদেশের হিন্দু বৌদ্ধ খ্রিষ্টান এরা হল দুরের মানুষ। এদের বলা হয় মালাউন। এদের নাকি লাথ মাইর ্যা দ্যাশ থেকে বাইর কইরা দিতে হবে। কিন্ত মায়াম্মার হলে নিজেদের দেশ।,2,2,3,2,3
নাস্তিকদের কবর হয়ে গেছে।তারা রাহুলের সাথে আর কেউ পারছে না,2,2,2,2,3
এখানে হিন্দু মুসলিম সুখে আছি এটা দীবাকরের মতো দালালদের সহ্য হয়না।,2,2,2,2,3
মালাউন কা বাচ্চা কাভি নেহি আচ্ছা ও ভি সাচ্ছা ও তো শুয়োর কা বাচ্চা।,2,2,2,2,3
নাস্তিকদের যতই বুঝাবেন তারা তো আল্লাহকেই বিশ্বাস করে না।,2,2,2,3,3
যখন বাবরি মসজিদ ভাঙ্গা হলো সেই ওপারের সাম্প্রদায়িকতার ঢেউ এপার বাংলার অাকাশে বাতাসেও যেন বইছিলো। ওপারের ভাইদের উপর অাক্রমণ হইবো অার অামরা বসে বসে থাকুম নাকি এপারের মালাউনদের উপর তাই হামলা করে তখন বাবরি মসজিদ ভাঙ্গার প্রতিশোধ নেওয়া হলো।,2,2,3,2,3
"মোনাজাতের মাধ্যমে মূর্তি উদ্ভোধন, বাপকে দুলাভাই ডাকার মত ",2,3,2,2,2
তর প্রফাইল নেইম টা আমি মালাউন হিজরা লিখা উচিৎ ছিল।তুই বেষ্যা মাগির পুত নেংটি দাতু চুরের বাচচা।,2,2,2,2,3
তর মা তর চাচা জেঠা মামা খালু সবার সাথে চুদা দিয়া তরে সংমিসৃত সন্তান পয়দা করছে। তর মউত মোসলমানের হাতে মনেরাখিস ইনসা আল্লাহ। তোর আসেপাসেই কোন ঈমানদার তোকে নজরে রাখছে কাফেরের বাচচা।,2,2,2,2,3
জনের পরিবর্তে জন ভারতিও মালাউনকে ঘন্টার ভিতর হত্যা করা হোউক। আর আমি জানি পাকিস্তান তোমরা সেটা পারবে এবং করবে,2,2,3,2,3
মোহাম্মদ অনেক মেয়ে জোর জবসতি ভোগ  করেছেএবং ওর মতো কেউ মরণ জন্তনা ভোগ করে নাই ।তাই মানবজাতি নারী ভোগ করার কথা চিন্তাও করবেন না,3,2,2,2,2
হিন্দু বা কাফের দের সাতে হাত মিলিয়ে সারা দুনিয়াতে ফেতনা লাগায়ে নিজেরা শেষ হয়ে জাচ্ছে,2,2,2,2,3
আসামের রোহিঙ্গা মুসলমানদের তারিয়ে দেওয়া হোক কারণ এরা ভারতের মানুষ নয়,2,2,3,2,2
আর নাস্তিকটা সত্য জানতে চাচ্ছে না। ও  আপনাকে আটকাতে চাচ্ছে।,2,2,2,2,3
ধুর শালা মালাউনের বাচ্চা মাদারচুদের বাচ্চা।,2,2,2,2,3
মৃত্যু পর্যন্ত অপেক্ষা কর।তখন বুঝতে পারবি আস্তিক নাকি নাস্তিক।,2,2,2,2,3
হা হা হা মালাউনরা বড্ড বাড়াবাড়ি করছে,2,2,2,2,3
এই শালা কে কি কুত্তা পয়দা করছিল নাকি শয়তান পয়দা করছিল সালায় কয় কি,2,2,2,2,2
মালাউনের গেষ্ঠি না খেললে ওদের ক্রিকেটের সর্বোচ্চ সংস্থা থেকে বহিষ্কার করা হউক।,2,2,2,2,3
আমাদের বাংলা দেশে যদি কেহই মূর্তি দেবার চেষ্টা করে এটাকে উপড়ে ফেলতে হবে আমাদের ,2,2,3,2,2
তেতুল হুজুর বৌয়ের যোনি চুসে বুঝলো যে টক।,2,2,2,2,2
মালাউনদের চুলকানি শুরু হয়ে গেছে।,2,2,2,2,3
হযরত গৌতম বৌদ্ধ? তুরা কি গরু না ছাগল রে কাদিয়ানীর বাচ্চারা!,3,2,2,2,2
মার সালার মালাউনের বাচ্চা হিন্দুদের।,2,2,2,2,3
নাদানের বলা হয় এক কথা আর বলে আরএক কথা ।নিজের ধমগ্রন্থের জ্ঞান আমার কথা বলতে এসেছে ।,2,3,2,2,2
ব্যপারটা এমন নয় বঙ্গের মুসলমানরা হিন্দুদের মালাউন বলে সম্বোধন করে না। বরঞ্চ হিন্দুদের প্রতি চরম মাত্রার বিদ্বেষ নিয়ে বড় হয় মুসলমানরা হিন্দুদেরকে মালাউনই ডাকে। ,2,2,3,2,3
অধিকাংশ মুসলমান মনে করে হিন্দুরা আসলেই বাড়াবাড়ি করছে। এরা ব্রাহ্মনবাড়িয়া হামলাকে জাস্টিফাই করতে চায় ক্বাবার উপরে শিবের ছবিটা দিয়ে। পশুমন্ত্রীকে যারা জানোয়ার কিংবা পশু নামে ডাকছনে তারা ভেবে বলেন তো আদতে মন্ত্রি কি কোন ভুল কথা বলেছেন? এটা তো সকল মুসলমানের মনের কথা।,2,2,3,2,3
সালা মালাউনের বাচ্চা রেন্ডিয়ার বাচ্চা কাদের ধর্ম এর সবাই যানে তোগো ধর্ম নেতা কৃষ্ন ঐ মাগির পোলায় তো জাতীয় চুচ্চা আবার তোরা করস যৌন পূজা। তোগ ধর্ম নেতারা বলে নারী হচ্ছে ভোগের বস্তু তার মানে তোর মা বোনদের জায়গা ফাক সালা মালাউনের বাচ্চা,2,3,2,2,3
জদ্দা খোর সাইফল্লাহ কিসের আলেম।,2,2,2,2,3
মালাউনদের স্বভাব এটা কার টাকা কোন দিকে খাবে এই কাজ তাদের আমাদের দেশের মালাউনদের ঘাড় ধাক্কা দিয়ে দেশ থেকে বের করে দেওয়া উচিত,2,2,2,2,3
নাস্তিক লতিফ সিদ্দিকীর ইস্যু ধামাচাপা দিতে এবার ইসলাম অবমাননা করল আরেক নাস্তিক আব্দুল গাফফার চৌধুরী,3,2,2,2,3
এই কুকুর ভালো হয়ে যা।নইলে আল্লাহর বিচার শুরু হলে রক্ষা পাবিনা,2,2,2,3,2
